linha_planilha;secretaria;unidade;programa;acao;natureza;desc_sub;valor;vinculo_atual;motivo;vinculo_proposto
657;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;"3.3.90.32.00-MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";MATERIAL FARMACOLÓGICO;"61803000,00";;vínculo em branco;01.310.0000
658;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL HOSPITALAR;"45000000,00";;vínculo em branco;01.310.0000
659;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL FARMACOLÓGICO;"1685190,00";;vínculo em branco;01.310.0000
660;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL FARMACOLÓGICO;"418000,00";;vínculo em branco;01.310.0000
661;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0014-Gestão em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"960000,00";;vínculo em branco;01.310.0000
662;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.30.00-MATERIAL DE CONSUMO;GÊNEROS DE ALIMENTAÇÃO;"150000,00";;vínculo em branco;01.310.0000
663;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;"UNIFORMES, TECIDOS E AVIAMENTOS";"1000000,00";;vínculo em branco;01.310.0000
664;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS DECORRENTES DE DECISÃO JUDICIAL;"1000000,00";;vínculo em branco;01.310.0000
665;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0015-Atenção e Cuidado em Saúde​;2.011-Manutenção de Equipamentos Públicos ;"3.3.90.32.00-MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA";MEDICAMENTOS PARA USO DOMICILIAR;"50000,00";;vínculo em branco;01.310.0000
666;09 - SECRETARIA DA SAÚDE;012-DEPARTAMENTO DE ASSISTÊNCIA FARMACÊUTICA;0015-Atenção e Cuidado em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MEDICAMENTOS FORNECIDOS POR DECISÃO JUDICIAL;"11000000,00";;vínculo em branco;01.310.0000
