UG;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;Programática_LOA;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;desc_sub;processo; valor ;Peça Orçamentária;Vínculo;Tipo de despesa;INICIADO;OBS.
11;11;014;04;122;0011;2.011;3.3.90.39.00;11.014.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LIMPEZA E CONSERVAÇÃO;8504/2021-MANUNTENÇÃO CEMITERIOS ( SERVIÇO CONTINUO);13922544.82;LOA;01.110.0000;2. Atividade;;20/08/2026
11;11;014;04;122;0011;2.011;3.3.90.39.00;11.014.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;111/2024-LOCAÇÃO DE VEICULOS- ADPTADOS-EMPRESA ASERP;250000;LOA;03.100.1103;2. Atividade;;
11;11;014;04;122;0011;2.011;3.3.90.39.00;11.014.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;1147/2025-LOCAÇÃO DE VEICULOS ATA DE REGITRO DE PREÇOS (CONTRATO);105150;LOA;03.100.1103;2. Atividade;;
11;11;014;04;122;0011;2.011;3.3.90.39.00;11.014.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS BANCÁRIOS;CIELO;80000;LOA;03.100.1103;2. Atividade;;
11;11;014;04;122;0011;2.011;4.4.90.52.00;11.014.04.122.0011.2.011.4.4.90.52.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE;MOBILIÁRIO EM GERAL;1242/2026-PARAMENTOS GIRASSOIS;80000;LOA;01.110.0000;2. Atividade;;
11;11;014;04;122;0011;2.011;4.5.90.62.00;11.014.04.122.0011.2.011.4.5.90.62.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;014-FUNDO MUNICIPAL DE MANUTENÇÃO DE VELÓRIOS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;4.5.90.62.00-AQUISIÇÃO DE PRODUTOS PARA REVENDA;AQUISIÇÃO DE PRODUTOS PARA REVENDA;2118/2025-2119/2026-URNAS;1200000;LOA;03.100.1103;2. Atividade;;ARP
11;11;001;04;121;0011;2.011;3.3.90.93.00;11.001.04.121.0011.2.011.3.3.90.93.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;121-PLANEJAMENTO E ORÇAMENTO;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.93.00 - INDENIZAÇÕES E RESTITUIÇÕES;DIVERSAS INDENIZAÇÕES E RESTITUIÇÕES;—;5000;LOA;01.110.0000;2. Atividade;;
11;11;001;15;451;0013;1.006;4.4.90.51.00;11.001.15.451.0013.1.006.4.4.90.51.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;15-URBANISMO;451-INFRA-ESTRUTURA URBANA;0013 - Mobilidade Urbana e Infraestrutura Viária;1.006 - Desenvolvimento da Infraestrutura Viária;4.4.90.51.00 - OBRAS E INSTALAÇÕES;OBRAS EM ANDAMENTO;2757/2025-JOFEGE;32775171.18;LOA;01.110.0000;1. Projeto;SIM;
11;11;001;15;452;0011;2.038;3.3.90.30.00;11.001.15.452.0011.2.038.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;15-URBANISMO;452-SERVIÇOS URBANOS;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.038 - Iluminação Pública;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL ELÉTRICO E ELETRÔNICO;141/2025 -MATERIAIS ELETRICOS;3000000;LOA;01.100.0000;2. Atividade;;PARA ATENDER AS DEMANDAS DOS EVENTOS DE TODAS AS SECRETARIAS.
11;11;001;15;452;0011;2.038;3.3.90.39.00;11.001.15.452.0011.2.038.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;15-URBANISMO;452-SERVIÇOS URBANOS;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.038 - Iluminação Pública;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;5427/2020-ILUMINAÇÃO;18256910.04;LOA;01.100.0000;2. Atividade;;CT 47-2024
