PROGRAMÁTICA,VALOR FINAL ARREDONDADO
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"154.590,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"100.000,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"50.000,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"151.669,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"200.000,00 "
09.009.10.302.0015.2.013.4.4.50.52.08.310.0000,"30.000,00 "
09.009.10.302.0015.2.013.4.4.50.51.08.310.0000,"1,00 "
11.001.17.452.0007.2.039.3.3.90.30.08.110.0000,"100.000,00 "
11.001.17.452.0007.2.039.3.3.90.39.08.110.0000,"100.000,00 "
11.001.17.452.0007.2.039.4.4.90.52.08.110.0000,"100.000,00 "
11.001.17.452.0007.2.039.3.3.90.30.08.110.0000,"25.000,00 "
11.001.17.452.0007.2.039.3.3.90.39.08.110.0000,"25.000,00 "
11.001.17.452.0007.2.039.4.4.90.52.08.110.0000,"25.000,00 "
11.001.18.543.0007.2.037.3.3.50.39.08.110.0000,"450.000,00 "
12.001.27.811.0010.2.030.3.3.50.39.08.110.0000,"668.357,00 "
12.001.27.811.0010.2.030.4.4.50.52.08.110.0000,"0,00 "
12.001.27.811.0010.2.030.3.3.50.39.08.110.0000,"0,00 "
12.001.27.811.0010.2.030.4.4.50.52.08.110.0000,"50.000,00 "
12.001.27.811.0010.2.030.3.3.50.39.08.110.0000,"50.000,00 "
12.001.27.811.0010.2.030.4.4.50.52.08.110.0000,"15.000,00 "
12.001.27.811.0010.2.030.3.3.50.39.08.110.0000,"15.000,00 "
12.001.27.812.0010.1.002.3.3.90.39.08.110.0000,"500.000,00 "
12.001.27.812.0010.2.031.4.4.50.52.08.110.0000,"47.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"500.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"400.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"78.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.4.4.50.52.08.110.0000,"50.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"350.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"1.410.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"500.000,00 "
12.001.27.812.0010.2.031.4.4.50.52.08.110.0000,"200.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"400.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"449.980,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"186.669,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"200.000,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"351.669,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"260.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"125.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"50.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"150.000,00 "
14.001.08.245.0018.2.041.4.4.50.51.08.110.0000,"500.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"200.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"150.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"50.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"49.999,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"1,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"20.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"300.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"323.338,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"120.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"15.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"40.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"40.000,00 "
14.001.08.241.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.241.0018.2.041.4.4.50.52.08.110.0000,"60.669,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"100.000,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"50.000,00 "
14.001.08.245.0018.2.041.3.3.50.39.08.110.0000,"709.669,00 "
14.001.08.245.0018.2.041.4.4.50.52.08.110.0000,"100.000,00 "
15.001.04.131.0002.2.005.3.3.50.39.08.110.0000,"120.000,00 "
17.001.18.541.0007.2.011.3.3.50.39.08.110.0000,"161.669,00 "
